Test 2.11/2.11 AM Hallway two way-trayectorias
(22.5000, 11.0000)
(0.0000, 0.0000)
(20.0000, 9.0000)
(0.0000, 0.0000)
(0.0000, 5.0000)
(0.0000, 0.0000)
(20.0000, 5.0000)
(0.0000, 0.0000)
(-2.5000, 5.0000)
(0.0000, 0.0000)
(-2.5000, 9.0000)
(0.0000, 0.0000)
(15.0000, 11.0000)
(0.0000, 0.0000)
(20.0000, 11.0000)
(0.0000, 0.0000)
(-5.0000, 11.0000)
(0.0000, 0.0000)
(0.0000, 7.0000)
(0.0000, 0.0000)
(2.5000, 5.0000)
(0.0000, 0.0000)
(0.0000, 9.0000)
(0.0000, 0.0000)
(0.0000, 11.0000)
(0.0000, 0.0000)
(-2.5000, 7.0000)
(0.0000, 0.0000)
(22.5000, 9.0000)
(0.0000, 0.0000)
(-5.0000, 9.0000)
(0.0000, 0.0000)
(17.5000, 11.0000)
(0.0000, 0.0000)
(2.5000, 7.0000)
(0.0000, 0.0000)
(17.5000, 5.0000)
(0.0000, 0.0000)
(-5.0000, 5.0000)
(0.0000, 0.0000)
(15.0000, 7.0000)
(0.0000, 0.0000)
(-2.5000, 11.0000)
(0.0000, 0.0000)
(2.5000, 9.0000)
(0.0000, 0.0000)
(15.0000, 5.0000)
(0.0000, 0.0000)
(15.0000, 9.0000)
(0.0000, 0.0000)
(17.5000, 7.0000)
(0.0000, 0.0000)
(20.0000, 7.0000)
(0.0000, 0.0000)
(17.5000, 9.0000)
(0.0000, 0.0000)
(22.5000, 5.0000)
(0.0000, 0.0000)
(2.5000, 11.0000)
(0.0000, 0.0000)
(22.5000, 7.0000)
(0.0000, 0.0000)
(-5.0000, 7.0000)
(0.0000, 0.0000)
(22.4985, 11.0000)
(-0.1500, 0.0000)
(19.9985, 9.0000)
(-0.1500, 0.0000)
(0.0015, 5.0000)
(0.1500, 0.0000)
(19.9985, 5.0000)
(-0.1500, 0.0000)
(-2.4985, 5.0000)
(0.1500, 0.0000)
(-2.4985, 9.0000)
(0.1500, 0.0000)
(14.9985, 11.0000)
(-0.1500, 0.0000)
(19.9985, 11.0000)
(-0.1500, 0.0000)
(-4.9985, 11.0000)
(0.1500, 0.0000)
(0.0015, 7.0000)
(0.1500, 0.0000)
(2.5015, 5.0000)
(0.1500, 0.0000)
(0.0015, 9.0000)
(0.1500, 0.0000)
(0.0015, 11.0000)
(0.1500, 0.0000)
(-2.4985, 7.0000)
(0.1500, 0.0000)
(22.4985, 9.0000)
